"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-02",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-03",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-04",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-05",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-06",,,,,,,,,"0.0","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-07",,,,,,,,,"6.6",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-08",,,,,,,,,"0.8",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-09",,,,,,,,,"2.8",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-10",,,,,,,,,"23.9",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-11",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-12",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-13",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-14",,,,,,,,,"7.1",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-15",,,,,,,,,"3.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-16",,,,,,,,,"0.8",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-17",,,,,,,,,"1.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-18",,,,,,,,,"3.3",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJHD0018","KEARNY 1.7 NNW, NJ US","40.774342","-74.137109","25.6","2025-06-19",,,,,,,,,"21.8",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-01",,,,,,,,,"0.8",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-02",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-03",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-04",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-05",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-06",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-07",,,,,,,,,"0.8",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-08",,,,,,,,,"1.8",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-09",,,,,,,,,"1.3",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-10",,,,,,,,,"6.1",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-11",,,,,,,,,"23.6",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-12",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-13",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-14",,,,,,,,,"1.8",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-15",,,,,,,,,"7.6",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-16",,,,,,,,,"5.6",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-17",,,,,,,,,"5.6",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-18",,,,,,,,,"1.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2025-06-19",,,,,,,,,"0.5",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0019","WEST CALDWELL TWP 1.3 NE, NJ US","40.8615","-74.2775","81.4","2025-06-01",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0019","WEST CALDWELL TWP 1.3 NE, NJ US","40.8615","-74.2775","81.4","2025-06-02",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
