"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-01",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-02",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-03",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-04",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-05",,,,,,,"19.1",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-06",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-07",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-08",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-09",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-10",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-11",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-12",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-13",,,,,,,"0.5",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-14",,,,,,,"1.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-15",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-16",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-17",,,,,,,"11.4",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-18",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-19",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-20",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-21",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-22",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-23",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-24",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-25",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-26",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-27",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-28",,,,,,,"33.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-29",,,,,,,"13.5",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2026-04-30",,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-01",,,,,,,"0.0",",,H,0600",,,,,,,"26.7",",,H","20.6",",,H","21.1",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-02",,,,,,,"0.0",",,H,0600",,,,,,,"28.3",",,H","20.0",",,H","20.6",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-03",,,,,,,"0.0",",,H,0600",,,,,,,"27.8",",,H","18.9",",,H","19.4",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-05",,,,,,,"0.0",",,H,0600",,,,,,,"11.7",",,H","10.0",",,H","11.1",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-06",,,,,,,"0.0",",,H,0600","0.0",",,H","0.0",",,H",,,"19.4",",,H","3.9",",,H","3.9",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-07",,,,,,,"0.0",",,H,0600","0.0",",,H","0.0",",,H",,,"21.1",",,H","3.9",",,H","5.0",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-08",,,,,,,"0.0",",,H,0600","0.0",",,H","0.0",",,H",,,"19.4",",,H","5.0",",,H","6.1",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-09",,,,,,,"0.0",",,H,0600",,,,,,,"21.1",",,H","6.1",",,H","20.0",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-10",,,,,,,"0.0",",,H,0600",,,,,,,"26.7",",,H","8.9",",,H","8.9",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-13",,,,,,,"0.0",",,H,0600",,,,,,,"28.9",",,H","20.0",",,H","20.6",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-14",,,,,,,"0.0",",,H,0600",,,,,,,"25.0",",,H","18.9",",,H","19.4",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-15",,,,,,,"0.0",",,H,0600","0.0",",,H","0.0",",,H",,,"28.9",",,H","17.2",",,H","17.2",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-16",,,,,,,"0.0",",,H,0600","0.0",",,H","0.0",",,H",,,"30.6",",,H","15.0",",,H","20.0",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-17",,,,,,,"10.2",",,H,0600","0.0",",,H","0.0",",,H",,,"27.8",",,H","13.9",",,H","13.9",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-18",,,,,,,"0.0",",,H,0600",,,,,,,"27.8",",,H","13.9",",,H","19.4",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-19",,,,,,,"2.0",",,H,0600",,,,,,,"22.2",",,H","5.0",",,H","5.6",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-20",,,,,,,"0.0",",,H,0600",,,,,,,"21.7",",,H","5.0",",,H","6.7",",,H,0600",,,,,,,,,,,,
"USC00401663","CHEATHAM LOCK AND DAM, TN US","36.3211","-87.2218","119.5","2026-04-21",,,,,,,"0.0",",,H,0600","0.0",",,H","0.0",",,H",,,"22.2",",,H","6.7",",,H","8.3",",,H,0600",,,,,,,,,,,,
