"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","SX32","SX32_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-01",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-02",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-03",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-04",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-05",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-06",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-07",,,,,,,,,,,,,,,"6.1",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-08",,,,,,,,,,,,,,,"1.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-09",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-10",,,,,,,,,,,,,,,"3.3",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-11",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-12",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","36.1753","-86.7369","150.9","2025-06-13",,,,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
